iter	Passed	Remaining
738	1356	479
739	1358	477
740	1359	475
741	1360	473
742	1361	471
743	1363	469
744	1364	467
745	1367	465
746	1368	463
747	1369	461
748	1371	459
749	1372	457
750	1373	455
751	1374	453
752	1376	451
753	1377	449
754	1378	447
755	1380	445
756	1382	443
757	1384	441
758	1385	439
759	1386	437
760	1388	436
761	1390	434
762	1391	432
763	1392	430
764	1393	428
765	1396	426
766	1398	424
767	1399	422
768	1401	421
769	1403	419
770	1404	417
771	1405	415
772	1407	413
773	1408	411
774	1410	409
775	1411	407
776	1413	405
777	1415	404
778	1417	402
779	1419	400
780	1420	398
781	1422	396
782	1423	394
783	1425	392
784	1427	390
785	1428	389
786	1430	387
787	1431	385
788	1432	383
789	1433	381
790	1435	379
791	1436	377
792	1437	375
793	1439	373
794	1442	371
795	1444	370
796	1446	368
797	1447	366
798	1449	364
799	1451	362
800	1452	360
801	1454	358
802	1456	357
803	1457	355
804	1458	353
805	1460	351
806	1461	349
807	1462	347
808	1464	345
809	1465	343
810	1466	341
811	1467	339
812	1469	338
813	1471	336
814	1472	334
815	1473	332
816	1474	330
817	1476	328
818	1477	326
819	1478	324
820	1480	322
821	1481	320
822	1484	319
823	1485	317
824	1487	315
825	1488	313
826	1490	311
827	1491	309
828	1493	308
829	1494	306
830	1496	304
831	1499	302
832	1501	300
833	1502	299
834	1504	297
835	1505	295
836	1507	293
837	1508	291
838	1509	289
839	1511	287
840	1514	286
841	1515	284
842	1516	282
843	1518	280
844	1519	278
845	1520	276
846	1522	274
847	1523	273
848	1524	271
849	1526	269
850	1529	267
851	1530	265
852	1531	263
853	1533	262
854	1534	260
855	1535	258
856	1536	256
857	1538	254
858	1539	252
859	1541	250
860	1543	249
861	1544	247
862	1546	245
863	1547	243
864	1548	241
865	1549	239
866	1551	237
867	1552	236
868	1553	234
869	1554	232
870	1557	230
871	1558	228
872	1559	226
873	1561	225
874	1562	223
875	1563	221
876	1565	219
877	1567	217
878	1568	215
879	1569	214
880	1571	212
881	1573	210
882	1575	208
883	1576	206
884	1578	205
885	1579	203
886	1581	201
887	1582	199
888	1583	197
889	1585	195
890	1587	194
891	1589	192
892	1590	190
893	1592	188
894	1593	186
895	1594	185
896	1595	183
897	1596	181
898	1598	179
899	1599	177
900	1601	176
901	1603	174
902	1604	172
903	1605	170
904	1607	168
905	1608	166
906	1609	165
907	1611	163
908	1612	161
909	1613	159
910	1614	157
911	1617	156
912	1618	154
913	1620	152
914	1621	150
915	1622	148
916	1624	146
917	1625	145
918	1626	143
919	1627	141
920	1629	139
921	1631	138
922	1633	136
923	1634	134
924	1635	132
925	1637	130
926	1638	129
927	1639	127
928	1640	125
929	1642	123
930	1643	121
931	1645	120
932	1647	118
933	1648	116
934	1649	114
935	1651	112
936	1652	111
937	1653	109
938	1655	107
939	1656	105
940	1657	103
941	1659	102
942	1661	100
943	1663	98
944	1664	96
945	1666	95
946	1667	93
947	1669	91
948	1670	89
949	1671	87
950	1673	86
951	1676	84
952	1677	82
953	1679	80
954	1680	79
955	1681	77
956	1682	75
957	1684	73
958	1685	72
959	1686	70
960	1688	68
961	1691	66
962	1692	65
963	1693	63
964	1695	61
965	1696	59
966	1697	57
967	1698	56
968	1700	54
969	1701	52
970	1702	50
971	1705	49
972	1706	47
973	1708	45
974	1709	43
975	1710	42
976	1712	40
977	1713	38
978	1714	36
979	1716	35
980	1717	33
981	1720	31
982	1721	29
983	1722	28
984	1724	26
985	1725	24
986	1726	22
987	1727	20
988	1729	19
989	1730	17
990	1731	15
991	1733	13
992	1735	12
993	1736	10
994	1737	8
995	1739	6
996	1740	5
997	1742	3
998	1743	1
999	1744	0
